"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Leach_field",5,1,54.7800025939941,0.342244684249363,0.0833333333333333
"2",2,"Leach_field",5,1,55.547306060791,0.349565545808658,0.0833333333333333
"3",3,"Leach_field",5,1,54.4788551330566,0.339371428795871,0.0833333333333333
"4",4,"Control",5,1,57.374626159668,0.367000052555046,0.0833333333333333
"5",5,"Control",5,1,54.6885604858398,0.34137223280941,0.0833333333333333
"6",6,"Control",5,1,55.9872169494629,0.353762746595249,0.0833333333333333
"7",1,"Leach_field",600,1,59.1117782592774,0.383574264166222,10
"8",2,"Leach_field",600,1,64.7781066894531,0.437636845376739,10
"9",3,"Leach_field",600,1,62.787712097168,0.418646440811882,10
"10",4,"Control",600,1,58.5683364868164,0.378389272629127,10
"11",5,"Control",600,1,56.5777130126953,0.359396684296951,10
"12",6,"Control",600,1,51.8033752441406,0.313844608288727,10
"13",1,"Leach_field",1200,1,62.4834403991699,0.41574337693449,20
"14",2,"Leach_field",1200,1,77.8079223632813,0.561954642466126,20
"15",3,"Leach_field",1200,1,72.7851181030274,0.514031941448937,20
"16",4,"Control",1200,1,61.5363807678223,0.406707457315312,20
"17",5,"Control",1200,1,61.5442733764648,0.406782760891685,20
"18",6,"Control",1200,1,56.7214622497559,0.360768199361477,20
"19",1,"Leach_field",1800,1,70.0542984008789,0.487977122400246,30
"20",2,"Leach_field",1800,1,93.2897720336914,0.709667357217751,30
"21",3,"Leach_field",1800,1,83.1150054931641,0.612589655285416,30
"22",4,"Control",1800,1,68.2552108764649,0.470811983352624,30
"23",5,"Control",1800,1,66.5480651855469,0.454524063636933,30
"24",6,"Control",1800,1,59.3084411621094,0.385450629838715,30
