"","Chamber","Treatment","Mass_flux_linear","Mass_flux_quadratic"
"1",1,"Leach_field",0.095902441580794,0.0487380757360433
"2",2,"Leach_field",0.25141383315086,0.159048317705809
"3",3,"Leach_field",0.191398681829373,0.162176348545297
"4",4,"Control",0.0696137236226403,-0.0114971817520209
"5",5,"Control",0.0792444267746424,0.0338494154575548
"6",6,"Control",0.0296334870692384,-0.0715158993381061
