"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,845.344299316406,0
2,"Leach_field",5,1,880.092529296875,0
3,"Leach_field",5,1,877.7529296875,0
4,"Control",5,1,890.067749023438,0
5,"Control",5,1,949.261657714844,0
6,"Control",5,1,946.318603515625,0
1,"Leach_field",600,1,1128.02648925781,0
2,"Leach_field",600,1,1384.95788574219,0
3,"Leach_field",600,1,1259.73315429688,0
4,"Control",600,1,1373.45935058594,0
5,"Control",600,1,1271.17639160156,0
6,"Control",600,1,1283.89306640625,0
1,"Leach_field",1200,1,1572.37060546875,0
2,"Leach_field",1200,1,2035.97119140625,0
3,"Leach_field",1200,1,1773.7080078125,0
4,"Control",1200,1,1888.52502441406,0
5,"Control",1200,1,1657.56042480469,0
6,"Control",1200,1,1785.93286132813,0
1,"Leach_field",1800,1,1955.33422851563,0
2,"Leach_field",1800,1,2652.2578125,0
3,"Leach_field",1800,1,2185.31567382812,0
4,"Control",1800,1,2341.55981445312,0
5,"Control",1800,1,1850.96105957031,0
6,"Control",1800,1,2134.013671875,0
