"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Leach_field",5,1,52.9744033813477,0.325017417021523,0.0833333333333333
"2",2,"Leach_field",5,1,55.9305267333984,0.353221863826522,0.0833333333333333
"3",3,"Leach_field",5,1,54.4551086425781,0.339144862936554,0.0833333333333333
"4",4,"Control",5,1,57.4220848083496,0.367452856708584,0.0833333333333333
"5",5,"Control",5,1,56.0340805053711,0.354209872953758,0.0833333333333333
"6",6,"Control",5,1,53.147689819336,0.32667074725853,0.0833333333333333
"7",1,"Leach_field",600,1,57.3273658752441,0.366549140999851,10
"8",2,"Leach_field",600,1,61.612548828125,0.407434178682861,10
"9",3,"Leach_field",600,1,59.2177124023438,0.384584984473572,10
"10",4,"Control",600,1,59.159294128418,0.384027614261589,10
"11",5,"Control",600,1,55.1094017028809,0.345387489382229,10
"12",6,"Control",600,1,57.5601119995117,0.368769777590141,10
"13",1,"Leach_field",1200,1,62.066463470459,0.411764989633236,20
"14",2,"Leach_field",1200,1,60.867919921875,0.400329655672607,20
"15",3,"Leach_field",1200,1,60.3171882629395,0.395075111146412,20
"16",4,"Control",1200,1,56.8281364440918,0.361785980516491,20
"17",5,"Control",1200,1,55.7230224609375,0.351242060375366,20
"18",6,"Control",1200,1,56.4745216369629,0.358412132801304,20
"19",1,"Leach_field",1800,1,63.3792381286621,0.424290205466518,30
"20",2,"Leach_field",1800,1,68.3862457275391,0.472062190142594,30
"21",3,"Leach_field",1800,1,62.4880256652832,0.415787125073109,30
"22",4,"Control",1800,1,59.4651947021484,0.386946219283065,30
"23",5,"Control",1800,1,54.7984504699707,0.342420695895252,30
"24",6,"Control",1800,1,57.614185333252,0.369285692619191,30
