"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Leach_field",5,1,985.2263794,597.9017015937,0.0833333333333333
"2",2,"Leach_field",5,1,888.3942871,408.359318135173,0.0833333333333333
"3",3,"Leach_field",5,1,906.7628784,444.314614494886,0.0833333333333333
"4",4,"Control",5,1,885.614502,402.918073596905,0.0833333333333333
"5",5,"Control",5,1,924.2484741,478.541505667516,0.0833333333333333
"6",6,"Control",5,1,976.8954468,581.594454854218,0.0833333333333333
"7",1,"Leach_field",600,1,1317.588257,1248.47798219169,10
"8",2,"Leach_field",600,1,1342.263794,1296.77870548504,10
"9",3,"Leach_field",600,1,1451.785645,1511.16044800709,10
"10",4,"Control",600,1,1470.408447,1547.6133449126,10
"11",5,"Control",600,1,1379.759766,1370.17457801205,10
"12",6,"Control",600,1,1466.854858,1540.65743068113,10
"13",1,"Leach_field",1200,1,2077.319824,2735.60201904224,20
"14",2,"Leach_field",1200,1,1938.83313,2464.52352187698,20
"15",3,"Leach_field",1200,1,2105.101318,2789.98244668481,20
"16",4,"Control",1200,1,2070.181396,2721.62902078175,20
"17",5,"Control",1200,1,1685.978149,1969.57670590179,20
"18",6,"Control",1200,2,1731.091797,2099.44910373553,20
"19",1,"Leach_field",1800,2,2498.064697,3668.72085465479,30
"20",2,"Leach_field",1800,2,2111.647461,2878.08841832868,30
"21",3,"Leach_field",1800,2,2174.001953,3005.66938349514,30
"22",4,"Control",1800,2,1836.403931,2314.92393591699,30
"23",5,"Control",1800,2,1993.729004,2636.8203064018,30
"24",6,"Control",1800,2,2264.840088,3191.5295607735,30
