"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Leach_field",5,1,55.6708374,0.350744161404335,0.0833333333333333
"2",2,"Leach_field",5,1,53.48167038,0.329857264137339,0.0833333333333333
"3",3,"Leach_field",5,1,52.18038177,0.317441636977114,0.0833333333333333
"4",4,"Control",5,1,53.34083557,0.328513555694259,0.0833333333333333
"5",5,"Control",5,1,54.87333679,0.34313518814681,0.0833333333333333
"6",6,"Control",5,1,55.45202255,0.348656443450114,0.0833333333333333
"7",1,"Leach_field",600,1,54.27575302,0.337433626457646,10
"8",2,"Leach_field",600,1,52.79417419,0.323297845801145,10
"9",3,"Leach_field",600,1,54.6878624,0.34136557235496,10
"10",4,"Control",600,1,55.53208542,0.349420325294356,10
"11",5,"Control",600,1,56.90885544,0.362556122474426,10
"12",6,"Control",600,1,56.27659988,0.356523756370077,10
"13",1,"Leach_field",1200,1,59.40166855,0.386340114677264,20
"14",2,"Leach_field",1200,1,57.88062668,0.371827816169547,20
"15",3,"Leach_field",1200,1,57.97091293,0.372689239537953,20
"16",4,"Control",1200,1,57.58062744,0.368965515920726,20
"17",5,"Control",1200,1,53.6791687,0.331741600545917,20
"18",6,"Control",1200,2,52.09500122,NA,20
"19",1,"Leach_field",1800,2,58.15977859,NA,30
"20",2,"Leach_field",1800,2,57.27919769,NA,30
"21",3,"Leach_field",1800,2,57.27314758,NA,30
"22",4,"Control",1800,2,55.14474487,NA,30
"23",5,"Control",1800,2,55.78482819,NA,30
"24",6,"Control",1800,2,55.97413254,NA,30
