Chamber,Treatment,Time,Std_Curve_Num,Area,Concentration
1,Leach_field,5,1,985.2263794,0
2,Leach_field,5,1,888.3942871,0
3,Leach_field,5,1,906.7628784,0
4,Control,5,1,885.614502,0
5,Control,5,1,924.2484741,0
6,Control,5,1,976.8954468,0
1,Leach_field,600,1,1317.588257,0
2,Leach_field,600,1,1342.263794,0
3,Leach_field,600,1,1451.785645,0
4,Control,600,1,1470.408447,0
5,Control,600,1,1379.759766,0
6,Control,600,1,1466.854858,0
1,Leach_field,1200,1,2077.319824,0
2,Leach_field,1200,1,1938.83313,0
3,Leach_field,1200,1,2105.101318,0
4,Control,1200,1,2070.181396,0
5,Control,1200,1,1685.978149,0
6,Control,1200,2,1731.091797,0
1,Leach_field,1800,2,2498.064697,0
2,Leach_field,1800,2,2111.647461,0
3,Leach_field,1800,2,2174.001953,0
4,Control,1800,2,1836.403931,0
5,Control,1800,2,1993.729004,0
6,Control,1800,2,2264.840088,0
