"","Chamber","Treatment","Mass_flux_linear","Mass_flux_quadratic"
"1",1,"Leach_field",2991.08838743546,2417.3151584435
"2",2,"Leach_field",2457.36974980494,3503.15097972038
"3",3,"Leach_field",2521.90971616953,4350.18464718652
"4",4,"Control",1871.66158948344,5063.11341619555
"5",5,"Control",1922.77305599274,2394.58260348683
"6",6,"Control",2196.50430756698,1945.00550227026
