"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,3.663496494,0
2,"Leach_field",5,1,3.953267813,0
3,"Leach_field",5,1,3.81010437,0
4,"Control",5,1,3.958502769,0
5,"Control",5,1,3.766606569,0
6,"Control",5,1,3.71868372,0
1,"Leach_field",600,1,3.722740173,0
2,"Leach_field",600,1,4.297031403,0
3,"Leach_field",600,1,3.901871443,0
4,"Control",600,1,4.171120167,0
5,"Control",600,1,4.12293005,0
6,"Control",600,1,3.588832855,0
1,"Leach_field",1200,1,3.486539841,0
2,"Leach_field",1200,1,3.994952917,0
3,"Leach_field",1200,1,3.875817299,0
4,"Control",1200,1,3.555223703,0
5,"Control",1200,1,NA,0
6,"Control",1200,1,NA,0
1,"Leach_field",1800,1,NA,0
2,"Leach_field",1800,1,NA,0
3,"Leach_field",1800,1,NA,0
4,"Control",1800,1,NA,0
5,"Control",1800,1,NA,0
6,"Control",1800,1,NA,0
