"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,56.93104553,0
2,"Leach_field",5,1,54.48587036,0
3,"Leach_field",5,1,53.21970749,0
4,"Control",5,1,52.97302246,0
5,"Control",5,1,193.0168915,0
6,"Control",5,1,77.94979858,0
1,"Leach_field",600,1,69.77271271,0
2,"Leach_field",600,1,52.87104416,0
3,"Leach_field",600,1,57.59208679,0
4,"Control",600,1,55.49333572,0
5,"Control",600,1,258.4925232,0
6,"Control",600,1,96.25563049,0
1,"Leach_field",1200,1,78.94443512,0
2,"Leach_field",1200,1,55.78969193,0
3,"Leach_field",1200,1,57.97535706,0
4,"Control",1200,1,58.43812943,0
5,"Control",1200,1,NA,0
6,"Control",1200,1,NA,0
1,"Leach_field",1800,1,NA,0
2,"Leach_field",1800,1,NA,0
3,"Leach_field",1800,1,NA,0
4,"Control",1800,1,NA,0
5,"Control",1800,1,NA,0
6,"Control",1800,1,NA,0
