"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Leach_field",5,1,53.2709197998047,0.327846487582932,0.0833333333333333
"2",2,"Leach_field",5,1,55.2691688537598,0.346911831762944,0.0833333333333333
"3",3,"Leach_field",5,1,55.3120880126953,0.347321324531326,0.0833333333333333
"4",4,"Control",5,1,53.4764022827148,0.329807001089439,0.0833333333333333
"5",5,"Control",5,1,53.4432373046875,0.329490573204956,0.0833333333333333
"6",6,"Control",5,1,53.8054008483887,0.332945984629498,0.0833333333333333
"7",1,"Leach_field",600,1,54.855037689209,0.342960595968685,10
"8",2,"Leach_field",600,1,55.1676063537598,0.345942821411381,10
"9",3,"Leach_field",600,1,54.8607330322266,0.3430149353788,10
"10",4,"Control",600,1,54.0395851135254,0.335180342557774,10
"11",5,"Control",600,1,56.5917739868164,0.359530840402565,10
"12",6,"Control",600,1,54.9356269836426,0.343729500441609,10
"13",1,"Leach_field",1200,1,59.7869300842285,0.390015904606876,20
"14",2,"Leach_field",1200,1,55.5792198181152,0.349870035765133,20
"15",3,"Leach_field",1200,1,59.3148078918457,0.385511374966297,20
"16",4,"Control",1200,1,54.8710441589356,0.343113314096509,20
"17",5,"Control",1200,1,56.5506553649902,0.359138526603756,20
"18",6,"Control",1200,1,56.0597686767578,0.354454964439163,20
"19",1,"Leach_field",1800,1,59.8644828796387,0.390755837766705,30
"20",2,"Leach_field",1800,1,61.3675041198731,0.405096200995312,30
"21",3,"Leach_field",1800,1,60.3450317382813,0.395340766440735,30
"22",4,"Control",1800,1,55.1255226135254,0.345541299393711,30
"23",5,"Control",1800,1,59.3165664672852,0.38552815357853,30
"24",6,"Control",1800,1,57.0012550354004,0.363437709324131,30
