"","Chamber","Treatment","Mass_flux_linear","Mass_flux_quadratic"
"1",1,"Leach_field",NA,NA
"2",2,"Leach_field",NA,NA
"3",3,"Leach_field",NA,NA
"4",4,"Control",NA,NA
"5",5,"Control",NA,NA
"6",6,"Control",NA,NA
