"","Chamber","Treatment","Mass_flux_linear","Mass_flux_quadratic"
"1",1,"Leach_field",-0.0601035080158653,-0.0459527535925582
"2",2,"Leach_field",-0.0445528441372819,-0.00189682413461509
"3",3,"Leach_field",-0.0842600749339385,0.000632411480381045
"4",4,"Control",-0.0534248190616493,0.0994553274287193
"5",5,"Control",-0.0650519989596047,0.000480321463172604
"6",6,"Control",-0.0556147164490286,-0.037975538354009
