"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Leach_field",5,1,53.2709198,0.327846487584795,0.0833333333333333
"2",2,"Leach_field",5,1,55.26916885,0.346911831727071,0.0833333333333333
"3",3,"Leach_field",5,1,55.31208801,0.34732132450561,0.0833333333333333
"4",4,"Control",5,1,53.47640228,0.329807001063537,0.0833333333333333
"5",5,"Control",5,1,53.4432373,0.329490573160233,0.0833333333333333
"6",6,"Control",5,1,53.80540085,0.332945984644871,0.0833333333333333
"7",1,"Leach_field",600,1,54.85503769,0.342960595976232,10
"8",2,"Leach_field",600,1,55.16760635,0.345942821375509,10
"9",3,"Leach_field",600,1,54.86073303,0.343014935357556,10
"10",4,"Control",600,1,54.03958511,0.335180342524138,10
"11",5,"Control",600,1,56.59177399,0.35953084043294,10
"12",6,"Control",600,1,54.93562698,0.343729500406855,10
"13",1,"Leach_field",1200,1,59.78693008,0.390015904566532,20
"14",2,"Leach_field",1200,1,55.57921982,0.349870035783116,20
"15",3,"Leach_field",1200,1,59.31480789,0.385511374948687,20
"16",4,"Control",1200,1,54.87104416,0.343113314106664,20
"17",5,"Control",1200,1,56.55065536,0.359138526556144,20
"18",6,"Control",1200,1,56.05976868,0.354454964470097,20
"19",1,"Leach_field",1800,1,59.86448288,0.390755837770152,30
"20",2,"Leach_field",1800,1,61.36750412,0.405096200996523,30
"21",3,"Leach_field",1800,1,60.34503174,0.395340766457134,30
"22",4,"Control",1800,1,55.12552261,0.345541299360075,30
"23",5,"Control",1800,1,59.31656647,0.385528153604432,30
"24",6,"Control",1800,1,57.00125504,0.363437709368016,30
