"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Leach_field",5,1,842.1511841,557.177180226427,0.0833333333333333
"2",2,"Leach_field",5,1,781.8776245,418.669540232625,0.0833333333333333
"3",3,"Leach_field",5,1,808.7481689,480.417605468723,0.0833333333333333
"4",4,"Control",5,1,816.74646,498.797545721073,0.0833333333333333
"5",5,"Control",5,1,822.9259033,512.997803904572,0.0833333333333333
"6",6,"Control",5,1,994.3475952,906.922007923439,0.0833333333333333
"7",1,"Leach_field",600,1,1447.876831,1949.12466752629,10
"8",2,"Leach_field",600,1,1497.098022,2062.23414784134,10
"9",3,"Leach_field",600,1,1372.254395,1775.34556421044,10
"10",4,"Control",600,1,1551.563354,2187.39457717159,10
"11",5,"Control",600,1,1636.983643,2383.68898413041,10
"12",6,"Control",600,1,1674.587769,2470.10264180808,10
"13",1,"Leach_field",1200,1,2099.187012,3445.82465791886,20
"14",2,"Leach_field",1200,1,2204.855469,3688.64901901494,20
"15",3,"Leach_field",1200,1,2183.934082,3640.5720187847,20
"16",4,"Control",1200,1,2422.339844,4188.42450459581,20
"17",5,"Control",1200,1,2412.112061,4164.92122894559,20
"18",6,"Control",1200,1,2388.404785,4110.44230201256,20
"19",1,"Leach_field",1800,1,2727.65918,4890.04327333092,30
"20",2,"Leach_field",1800,1,2917.484131,5326.25786144278,30
"21",3,"Leach_field",1800,1,2825.095215,5113.9496652508,30
"22",4,"Control",1800,1,2984.209717,5479.5921510616,30
"23",5,"Control",1800,1,3148.327637,5856.73240842731,30
"24",6,"Control",1800,1,3165.301758,5895.73865687657,30
