"","Chamber","Treatment","Mass_flux_linear","Mass_flux_quadratic"
"1",1,"Leach_field",3156.89773698267,3091.1513612028
"2",2,"Leach_field",3704.25335788198,3737.72093144344
"3",3,"Leach_field",3500.58354320028,3225.49811288548
"4",4,"Control",3910.41862170458,4629.96185519377
"5",5,"Control",3948.65303000585,4272.98269237296
"6",6,"Control",3762.82886989505,3406.37165724461
