Standard,Known_ppm,Area1,Area2,Area3
1,0,15.25125122,14.46131134,16.13409805
2,0.3127,54.37863922,49.26073456,54.45890427
3,0.5943,85.82865906,67.05836487,81.75917053
4,1.981,236.1168823,179.8226776,232.1435852
