Standard,Known_ppm,Area1,Area2,Area3
1,0,13.02667713,0,36.21714783
2,0.3127,57.49045181,39.63963318,59.97654724
3,0.5943,85.64219666,65.96030426,81.07553864
4,1.981,270.6174011,207.5792084,235.542099
