Standard,Known_ppm,Area1,Area2,Area3
1,0,16.2022934,13.02667713,16.2022934
2,0.3127,59.8630867,57.49045181,59.8630867
3,0.5943,90.26005554,85.64219666,90.26005554
4,1.981,261.1829224,270.6174011,261.1829224
