"","Chamber","Treatment","Mass_flux_linear","Mass_flux_quadratic"
"1",1,"Leach_field",7157.12486951128,7065.94150049946
"2",2,"Leach_field",4615.03359270081,4910.11013030048
"3",3,"Leach_field",6176.33202597907,6231.42441616957
"4",4,"Control",6035.26340383649,5187.60694998416
"5",5,"Control",6840.06229740464,5059.68290535799
"6",6,"Control",5743.97446275406,6869.39711765442
