"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Leach_field",5,1,54.16918182,0.336416827974165,0.0833333333333333
"2",2,"Leach_field",5,1,54.7645874,0.342097607498085,0.0833333333333333
"3",3,"Leach_field",5,1,54.75146103,0.341972368473756,0.0833333333333333
"4",4,"Control",5,1,52.07041931,0.316392482397193,0.0833333333333333
"5",5,"Control",5,1,49.52627945,0.292118780389436,0.0833333333333333
"6",6,"Control",5,1,54.73396301,0.341805419427485,0.0833333333333333
"7",1,"Leach_field",600,1,55.63434982,0.350396032491365,10
"8",2,"Leach_field",600,1,55.5047226,0.349159255944665,10
"9",3,"Leach_field",600,1,56.1120224,0.35495351851896,10
"10",4,"Control",600,1,55.7831459,0.351815699610548,10
"11",5,"Control",600,1,56.2665062,0.356427452316855,10
"12",6,"Control",600,1,54.7870636,0.34231205348419,10
"13",1,"Leach_field",1200,1,59.35036469,0.385850623266407,20
"14",2,"Leach_field",1200,1,53.01948166,0.325447510005101,20
"15",3,"Leach_field",1200,1,59.18675995,0.384289666351949,20
"16",4,"Control",1200,1,54.29152298,0.337584088040255,20
"17",5,"Control",1200,1,53.85594177,0.333428196826114,20
"18",6,"Control",1200,2,58.23958588,NA,20
"19",1,"Leach_field",1800,2,57.13175583,NA,30
"20",2,"Leach_field",1800,2,56.25619888,NA,30
"21",3,"Leach_field",1800,2,66.21852112,NA,30
"22",4,"Control",1800,2,NA,NA,30
"23",5,"Control",1800,2,49.8553,NA,30
"24",6,"Control",1800,2,60.8707428,NA,30
