"","Chamber","Treatment","Mass_flux_linear","Mass_flux_quadratic"
"1",1,"Leach_field",7739.80758492253,14641.4780226367
"2",2,"Leach_field",9193.43804638091,12146.1324702725
"3",3,"Leach_field",4909.56052229836,5109.46942114371
"4",4,"Control",3760.69135988842,7116.42269034215
"5",5,"Control",2899.92889414102,8286.85957040077
"6",6,"Control",4857.63527043178,8090.70434224875
