"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Leach_field",5,1,3.650875568,2.58411637951844,0.0833333333333333
"2",2,"Leach_field",5,1,4.088896275,2.94324639545919,0.0833333333333333
"3",3,"Leach_field",5,1,NA,NA,0.0833333333333333
"4",4,"Control",5,1,3.82962,2.73066764909913,0.0833333333333333
"5",5,"Control",5,1,3.752099037,2.66710877109857,0.0833333333333333
"6",6,"Control",5,1,3.545893908,2.49804267426485,0.0833333333333333
"7",1,"Leach_field",600,1,3.896769285,2.78572286317251,10
"8",2,"Leach_field",600,1,3.420278311,2.39505135300519,10
"9",3,"Leach_field",600,1,3.612526178,2.55267399147166,10
"10",4,"Control",600,1,3.691692829,2.61758215718449,10
"11",5,"Control",600,1,3.623917818,2.56201391488033,10
"12",6,"Control",600,1,3.53936553,2.4926901042659,10
"13",1,"Leach_field",1200,1,3.556453705,2.50670057560224,20
"14",2,"Leach_field",1200,1,3.610670805,2.55115278454144,20
"15",3,"Leach_field",1200,1,3.490332603,2.45248836134891,20
"16",4,"Control",1200,1,3.583168268,2.52860365297443,20
"17",5,"Control",1200,1,3.470647335,2.43634855220824,20
"18",6,"Control",1200,1,3.553432941,2.50422387300317,20
"19",1,"Leach_field",1800,1,3.588449478,2.5329336789325,30
"20",2,"Leach_field",1800,1,3.080132008,2.11616785442534,30
"21",3,"Leach_field",1800,1,3.286957264,2.28574238891015,30
"22",4,"Control",1800,1,3.290706635,2.28881647112928,30
"23",5,"Control",1800,1,3.38180995,2.36351142149427,30
"24",6,"Control",1800,1,3.616032839,2.55554907751372,30
