Chamber,Treatment,Time,Std_Curve_Num,Area,Concentration
1,Leach_field,5,1,800.7562866,0
2,Leach_field,5,1,825.9595337,0
3,Leach_field,5,1,NA,0
4,Control,5,1,867.7264404,0
5,Control,5,1,880.4346924,0
6,Control,5,1,840.1891479,0
1,Leach_field,600,1,1541.757446,0
2,Leach_field,600,1,1716.340942,0
3,Leach_field,600,1,1734.600464,0
4,Control,600,1,1314.820313,0
5,Control,600,1,1301.949463,0
6,Control,600,1,1269.989258,0
1,Leach_field,1200,1,2357.134277,0
2,Leach_field,1200,1,2126.295166,0
3,Leach_field,1200,1,2063.761719,0
4,Control,1200,1,1562.114136,0
5,Control,1200,1,1603.372314,0
6,Control,1200,1,1743.948364,0
1,Leach_field,1800,1,2430.519287,0
2,Leach_field,1800,1,2757.184814,0
3,Leach_field,1800,1,2386.289063,0
4,Control,1800,1,1690.601929,0
5,Control,1800,1,1497.777954,0
6,Control,1800,1,1864.635254,0
