"","Chamber","Treatment","Mass_flux_linear","Mass_flux_quadratic"
"1",1,"Leach_field",0.0836125494832926,0.123145178844533
"2",2,"Leach_field",0.101817375517482,0.016647470677727
"3",3,"Leach_field",0.0432300981928223,-0.0228167908280428
"4",4,"Control",0.0706939805147891,0.133975780888077
"5",5,"Control",0.0559392884570204,0.0607807763942657
"6",6,"Control",0.0708350248878646,0.12161596386314
