"","Chamber","Treatment","Mass_flux_linear","Mass_flux_quadratic"
"1",1,"Leach_field",-0.0419989671560066,0.0851803298362715
"2",2,"Leach_field",-0.245604035042444,-0.336212794677186
"3",3,"Leach_field",-0.14339418653835,-0.000370789525349572
"4",4,"Control",-0.139776389330663,-0.0459768132611133
"5",5,"Control",-0.099608788213177,-0.123714957384429
"6",6,"Control",0.0179982315620875,-0.0237125546105484
