"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,3.393120289,0
2,"Leach_field",5,1,3.502223253,0
3,"Leach_field",5,1,3.510989904,0
4,"Control",5,1,3.389308453,0
5,"Control",5,1,3.547356129,0
6,"Control",5,1,3.551241875,0
1,"Leach_field",600,1,3.528815985,0
2,"Leach_field",600,1,3.489675045,0
3,"Leach_field",600,1,3.460826159,0
4,"Control",600,1,3.401841164,0
5,"Control",600,1,3.54022336,0
6,"Control",600,1,3.541519403,0
1,"Leach_field",1200,1,3.327765703,0
2,"Leach_field",1200,1,3.413033009,0
3,"Leach_field",1200,1,3.432962656,0
4,"Control",1200,1,3.436549425,0
5,"Control",1200,1,3.519094467,0
6,"Control",1200,1,3.444073677,0
1,"Leach_field",1800,1,3.457502604,0
2,"Leach_field",1800,1,3.287266731,0
3,"Leach_field",1800,1,3.336881399,0
4,"Control",1800,1,3.330315351,0
5,"Control",1800,1,3.441437483,0
6,"Control",1800,1,3.445353031,0
