"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Leach_field",5,1,3.393120289,2.13625953882505,0.0833333333333333
"2",2,"Leach_field",5,1,3.502223253,2.21368498805509,0.0833333333333333
"3",3,"Leach_field",5,1,3.510989904,2.21990628459034,0.0833333333333333
"4",4,"Control",5,1,3.389308453,2.13355445086162,0.0833333333333333
"5",5,"Control",5,1,3.547356129,2.24571375309711,0.0833333333333333
"6",6,"Control",5,1,3.551241875,2.24847129165165,0.0833333333333333
"7",1,"Leach_field",600,1,3.528815985,2.23255664970266,10
"8",2,"Leach_field",600,1,3.489675045,2.20478009119609,10
"9",3,"Leach_field",600,1,3.460826159,2.18430733888537,10
"10",4,"Control",600,1,3.401841164,2.14244835019917,10
"11",5,"Control",600,1,3.54022336,2.24065194887263,10
"12",6,"Control",600,1,3.541519403,2.24157169209332,10
"13",1,"Leach_field",1200,1,3.327765703,2.08988033889521,20
"14",2,"Leach_field",1200,1,3.413033009,2.15039069745601,20
"15",3,"Leach_field",1200,1,3.432962656,2.16453386841488,20
"16",4,"Control",1200,1,3.436549425,2.16707923648672,20
"17",5,"Control",1200,1,3.519094467,2.22565772715507,20
"18",6,"Control",1200,1,3.444073677,2.17241885852687,20
"19",1,"Leach_field",1800,1,3.457502604,2.18194876190927,30
"20",2,"Leach_field",1800,1,3.287266731,2.0611400463725,30
"21",3,"Leach_field",1800,1,3.336881399,2.09634933691294,30
"22",4,"Control",1800,1,3.330315351,2.09168970900342,30
"23",5,"Control",1800,1,3.441437483,2.17054807062869,30
"24",6,"Control",1800,1,3.445353031,2.17332675831752,30
