"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,728.1378784,0
2,"Leach_field",5,1,732.5167236,0
3,"Leach_field",5,1,727.7753296,0
4,"Control",5,1,729.5761108,0
5,"Control",5,1,780.1495972,0
6,"Control",5,1,734.6069946,0
1,"Leach_field",600,1,1209.806641,0
2,"Leach_field",600,1,1142.435669,0
3,"Leach_field",600,1,1088.161865,0
4,"Control",600,1,1188.324097,0
5,"Control",600,1,1117.666626,0
6,"Control",600,1,1182.59314,0
1,"Leach_field",1200,1,1754.753784,0
2,"Leach_field",1200,1,1449.276001,0
3,"Leach_field",1200,1,1373.909058,0
4,"Control",1200,1,1640.614868,0
5,"Control",1200,1,1410.910278,0
6,"Control",1200,1,1524.041504,0
1,"Leach_field",1800,1,2172.546631,0
2,"Leach_field",1800,1,1622.260132,0
3,"Leach_field",1800,1,1576.437866,0
4,"Control",1800,1,1982.282837,0
5,"Control",1800,1,1434.255371,0
6,"Control",1800,1,1683.588989,0
