Chamber,Treatment,Time,Std_Curve_Num,Area,Concentration
1,Control,5,1,909.5632324,0
2,Control,5,1,926.4008789,0
3,Control,5,1,927.2980957,0
4,Leach_field,5,1,901.7797241,0
5,Leach_field,5,1,904.6999512,0
6,Leach_field,5,1,980.1741333,0
1,Control,600,1,1357.310791,0
2,Control,600,1,1402.696899,0
3,Control,600,1,1234.902954,0
4,Leach_field,600,1,1243.147827,0
5,Leach_field,600,1,1114.346558,0
6,Leach_field,600,1,1078.065186,0
1,Control,1200,1,1696.825195,0
2,Control,1200,1,2113.826172,0
3,Control,1200,1,1627.134155,0
4,Leach_field,1200,1,1647.803467,0
5,Leach_field,1200,1,1580.10376,0
6,Leach_field,1200,1,1348.223511,0
1,Control,1800,1,2180.305908,0
2,Control,1800,1,2554.121338,0
3,Control,1800,1,2065.031982,0
4,Leach_field,1800,1,1912.291748,0
5,Leach_field,1800,1,1895.365112,0
6,Leach_field,1800,1,1399.611572,0
