"","Chamber","Treatment","Mass_flux_linear","Mass_flux_quadratic"
"1",1,"Control",2753.38402393254,2590.19246767266
"2",2,"Control",3789.80583638867,4001.09153069219
"3",3,"Control",2584.23415818643,1932.72629948658
"4",4,"Leach_field",2284.19879053616,2685.80452579822
"5",5,"Leach_field",2285.85607136497,1772.64850846128
"6",6,"Leach_field",1033.0753975585,1279.41606325532
