"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Control",5,1,3.774001122,2.26834607995031,0.0833333333333333
"2",2,"Control",5,1,4.240309238,2.58601551821694,0.0833333333333333
"3",3,"Control",5,1,3.83680892,2.31113349287499,0.0833333333333333
"4",4,"Leach_field",5,1,3.99357152,2.41792701710183,0.0833333333333333
"5",5,"Leach_field",5,1,3.882856607,2.34250318677662,0.0833333333333333
"6",6,"Leach_field",5,1,4.061053753,2.46389885914047,0.0833333333333333
"7",1,"Control",600,1,3.772949457,2.26762963985773,10
"8",2,"Control",600,1,4.499325752,2.76246887101288,10
"9",3,"Control",600,1,3.67498374,2.20089111822158,10
"10",4,"Leach_field",600,1,4.086623192,2.48131787683546,10
"11",5,"Leach_field",600,1,3.665470123,2.19441002714773,10
"12",6,"Leach_field",600,1,3.550239086,2.11590961607045,10
"13",1,"Control",1200,1,3.501369476,2.08261750507273,20
"14",2,"Control",1200,1,3.73663497,2.24289062655214,20
"15",3,"Control",1200,1,3.822861671,2.3016320181994,20
"16",4,"Leach_field",1200,1,3.944866896,2.38474730176728,20
"17",5,"Leach_field",1200,1,3.65627265,2.18814430716317,20
"18",6,"Leach_field",1200,1,3.728606224,2.23742109440313,20
"19",1,"Control",1800,1,3.731389284,2.23931703632764,30
"20",2,"Control",1800,1,4.113974094,2.49995050486895,30
"21",3,"Control",1800,1,4.04752779,2.45468438287297,30
"22",4,"Leach_field",1800,1,3.758523941,2.25780234883021,30
"23",5,"Leach_field",1800,1,3.783161163,2.27458629962293,30
"24",6,"Leach_field",1800,1,3.772920132,2.26760966238799,30
