"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Control",5,1,52.37751007,0.319322443015622,0.0833333333333333
"2",2,"Control",5,1,54.28667068,0.337537792124647,0.0833333333333333
"3",3,"Control",5,1,54.01083374,0.334906024984183,0.0833333333333333
"4",4,"Leach_field",5,1,53.40021133,0.329080061304813,0.0833333333333333
"5",5,"Leach_field",5,1,53.69478989,0.331890642710237,0.0833333333333333
"6",6,"Leach_field",5,1,54.94996643,0.343866313457791,0.0833333333333333
"7",1,"Control",600,1,57.381073,0.367061562019825,10
"8",2,"Control",600,1,59.37501144,0.386085778524326,10
"9",3,"Control",600,1,54.38652039,0.338490460704,10
"10",4,"Leach_field",600,1,56.51055908,0.358755966946257,10
"11",5,"Leach_field",600,1,60.3194809,0.395096985253923,10
"12",6,"Leach_field",600,1,59.83763504,0.390499681857516,10
"13",1,"Control",1200,1,59.18772888,0.384298910937302,20
"14",2,"Control",1200,1,64.03477478,0.43054469704535,20
"15",3,"Control",1200,1,61.6256218,0.407558908234345,20
"16",4,"Leach_field",1200,1,62.03059006,0.411422720527212,20
"17",5,"Leach_field",1200,1,76.41917419,0.548704561426145,20
"18",6,"Leach_field",1200,1,69.09833527,0.478856254269452,20
"19",1,"Control",1800,1,65.10534668,0.440759050307547,30
"20",2,"Control",1800,1,71.9043808,0.50562880482232,30
"21",3,"Control",1800,1,71.6015625,0.502739607851562,30
"22",4,"Leach_field",1800,1,68.69687653,0.475025926394643,30
"23",5,"Leach_field",1800,1,91.63188171,0.693849384192153,30
"24",6,"Leach_field",1800,1,80.23208618,0.585083650045535,30
