Pot,Treatment,Week,Sub_sample,Tube_weight,Tube_soil_weight,Soil_ww,Soil_dw,DF,Count1,Count2,Count3,CFU_mL,CFU_gdw,log_CFU_gdw
23,InocSoil_Incorp,1,2,0.98,1.45,0.47,0.188,-2,23,25,20,226666.6667,1205673.759,6
24,InocSoil_Incorp,1,1,0.99,1.55,0.56,0.224,-2,29,32,23,280000,1250000,6
24,InocSoil_Incorp,1,2,0.97,1.53,0.56,0.224,-2,33,32,27,306666.6667,1369047.619,6
25,InocManure_SA,1,1,0.97,1.48,0.51,0.204,-3,65,70,69,6800000,33333333.33,8
25,InocManure_SA,1,2,0.99,1.48,0.49,0.196,-3,28,38,45,3700000,18877551.02,7
26,InocManure_SA,1,1,0.96,1.45,0.49,0.196,-3,10,11,11,1066666.667,5442176.871,7
26,InocManure_SA,1,2,0.97,1.55,0.58,0.232,-3,18,15,17,1666666.667,7183908.046,7
27,InocManure_Incorp,1,1,0.96,1.57,0.61,0.244,-3,46,42,43,4366666.667,17896174.86,7
27,InocManure_Incorp,1,2,0.96,1.47,0.51,0.204,-3,68,58,60,6200000,30392156.86,7
28,InocManure_Incorp,1,1,0.99,1.47,0.48,0.192,-2,40,46,50,453333.3333,2361111.111,6
28,InocManure_Incorp,1,2,0.98,1.55,0.57,0.228,-2,31,28,30,296666.6667,1301169.591,6
1,Control,2,1,1.01,1.68,0.67,0.268,0,0,0,0,0,0,NA
1,Control,2,2,0.96,1.33,0.37,0.148,0,0,0,0,0,0,NA
2,Control,2,1,0.96,1.57,0.61,0.244,0,0,0,0,0,0,NA
2,Control,2,2,0.97,1.51,0.54,0.216,0,0,0,0,0,0,NA
3,Manure_SA,2,1,0.97,1.59,0.62,0.248,0,0,0,0,0,0,NA
3,Manure_SA,2,2,0.97,1.5,0.53,0.212,0,0,0,1,33.33333333,157.2327044,2
4,Manure_SA,2,1,0.97,1.45,0.48,0.192,0,0,0,0,0,0,NA
4,Manure_SA,2,2,0.97,1.57,0.6,0.24,0,0,0,2,66.66666667,277.7777778,2
5,Manure_incorp,2,1,0.97,1.42,0.45,0.18,0,0,1,2,100,555.5555556,3
5,Manure_incorp,2,2,0.98,1.57,0.59,0.236,0,0,0,1,33.33333333,141.2429379,2
6,Manure_incorp,2,1,0.95,1.4,0.45,0.18,0,6,3,1,333.3333333,1851.851852,3
6,Manure_incorp,2,2,0.96,1.47,0.51,0.204,0,4,8,5,566.6666667,2777.777778,3
7,InocSoil_SA,2,1,0.97,1.49,0.52,0.208,-2,13,5,8,86666.66667,416666.6667,6
7,InocSoil_SA,2,2,0.97,1.52,0.55,0.22,-1,21,17,17,18333.33333,83333.33333,5
8,InocSoil_SA,2,1,0.98,1.51,0.53,0.212,-2,28,17,23,226666.6667,1069182.39,6
8,InocSoil_SA,2,2,0.97,1.44,0.47,0.188,-2,29,23,22,246666.6667,1312056.738,6
9,InocSoil_Incorp,2,1,0.96,1.61,0.65,0.26,-2,18,14,14,153333.3333,589743.5897,6
9,InocSoil_Incorp,2,2,0.97,1.52,0.55,0.22,-2,14,8,15,123333.3333,560606.0606,6
10,InocSoil_Incorp,2,1,0.98,1.57,0.59,0.236,-2,32,28,31,303333.3333,1285310.734,6
10,InocSoil_Incorp,2,2,0.97,1.52,0.55,0.22,-2,21,19,26,220000,1000000,6
11,InocManure_SA,2,1,0.98,1.63,0.65,0.26,-2,10,10,12,106666.6667,410256.4103,6
11,InocManure_SA,2,2,0.96,1.39,0.43,0.172,-2,21,16,13,166666.6667,968992.2481,6
12,InocManure_SA,2,1,0.96,1.61,0.65,0.26,-2,39,37,28,346666.6667,1333333.333,6
12,InocManure_SA,2,2,0.97,1.61,0.64,0.256,-2,8,10,15,110000,429687.5,6
13,InocManure_Incorp,2,1,0.99,1.52,0.53,0.212,-1,10,13,13,12000,56603.77358,5
13,InocManure_Incorp,2,2,0.97,1.53,0.56,0.224,-1,10,11,6,9000,40178.57143,5
14,InocManure_Incorp,2,1,0.96,1.53,0.57,0.228,-2,37,35,39,370000,1622807.018,6
14,InocManure_Incorp,2,2,0.97,1.49,0.52,0.208,-2,17,9,17,143333.3333,689102.5641,6
15,Control,2,1,0.98,1.58,0.6,0.24,0,0,0,0,0,0,NA
15,Control,2,2,0.99,1.6,0.61,0.244,0,0,0,0,0,0,NA
16,Control,2,1,0.97,1.45,0.48,0.192,0,0,0,0,0,0,NA
16,Control,2,2,0.98,1.58,0.6,0.24,0,0,0,0,0,0,NA
17,Manure_SA,2,1,0.96,1.55,0.59,0.236,0,1,0,0,33.33333333,141.2429379,2
17,Manure_SA,2,2,0.97,1.57,0.6,0.24,0,0,0,0,0,0,NA
18,Manure_SA,2,1,0.98,1.56,0.58,0.232,0,2,0,0,66.66666667,287.3563218,2
18,Manure_SA,2,2,0.97,1.61,0.64,0.256,0,1,0,3,133.3333333,520.8333333,3
19,Manure_incorp,2,1,0.96,1.57,0.61,0.244,0,1,0,0,33.33333333,136.6120219,2
19,Manure_incorp,2,2,0.97,1.58,0.61,0.244,0,0,2,1,100,409.8360656,3
20,Manure_incorp,2,1,0.98,1.57,0.59,0.236,0,0,0,0,0,0,NA
20,Manure_incorp,2,2,0.98,1.52,0.54,0.216,0,0,0,0,0,0,NA
21,InocSoil_SA,2,1,0.97,1.47,0.5,0.2,-2,8,10,12,100000,500000,6
21,InocSoil_SA,2,2,0.96,1.49,0.53,0.212,-2,10,5,10,83333.33333,393081.761,6
22,InocSoil_SA,2,1,0.97,1.57,0.6,0.24,-1,14,15,18,15666.66667,65277.77778,5
22,InocSoil_SA,2,2,0.97,1.47,0.5,0.2,-1,6,7,6,6333.333333,31666.66667,5
23,InocSoil_Incorp,2,1,0.97,1.5,0.53,0.212,-2,4,6,7,56666.66667,267295.5975,5
23,InocSoil_Incorp,2,2,0.97,1.48,0.51,0.204,-2,10,12,9,103333.3333,506535.9477,6
24,InocSoil_Incorp,2,1,0.98,1.55,0.57,0.228,-2,22,24,20,220000,964912.2807,6
24,InocSoil_Incorp,2,2,0.99,1.59,0.6,0.24,-2,15,14,19,160000,666666.6667,6
25,InocManure_SA,2,1,0.97,1.44,0.47,0.188,-1,35,26,28,29666.66667,157801.4184,5
25,InocManure_SA,2,2,0.97,1.57,0.6,0.24,-1,37,35,30,34000,141666.6667,5
26,InocManure_SA,2,1,0.98,1.51,0.53,0.212,-1,19,16,14,16333.33333,77044.02516,5
26,InocManure_SA,2,2,0.97,1.49,0.52,0.208,-1,14,20,20,18000,86538.46154,5
27,InocManure_Incorp,2,1,0.97,1.53,0.56,0.224,-3,15,14,16,1500000,6696428.571,7
27,InocManure_Incorp,2,2,0.97,1.5,0.53,0.212,-3,6,7,5,600000,2830188.679,6
28,InocManure_Incorp,2,1,0.99,1.61,0.62,0.248,-2,19,15,17,170000,685483.871,6
28,InocManure_Incorp,2,2,0.95,1.62,0.67,0.268,-2,15,16,13,146666.6667,547263.6816,6
1,Control,3,1,0.97,1.66,0.69,0.276,NA,NA,NA,NA,NA,NA,NA
1,Control,3,2,0.98,1.52,0.54,0.216,NA,NA,NA,NA,NA,NA,NA
2,Control,3,1,0.98,1.45,0.47,0.188,NA,NA,NA,NA,NA,NA,NA
2,Control,3,2,0.98,1.49,0.51,0.204,NA,NA,NA,NA,NA,NA,NA
3,Manure_SA,3,1,0.96,1.38,0.42,0.168,NA,NA,NA,NA,NA,NA,NA
3,Manure_SA,3,2,0.97,1.57,0.6,0.24,NA,NA,NA,NA,NA,NA,NA
4,Manure_SA,3,1,0.96,1.49,0.53,0.212,NA,NA,NA,NA,NA,NA,NA
4,Manure_SA,3,2,0.96,1.54,0.58,0.232,NA,NA,NA,NA,NA,NA,NA
5,Manure_incorp,3,1,0.97,1.52,0.55,0.22,NA,NA,NA,NA,NA,NA,NA
5,Manure_incorp,3,2,0.97,1.59,0.62,0.248,NA,NA,NA,NA,NA,NA,NA
6,Manure_incorp,3,1,0.97,1.53,0.56,0.224,NA,NA,NA,NA,NA,NA,NA
6,Manure_incorp,3,2,0.98,1.49,0.51,0.204,NA,NA,NA,NA,NA,NA,NA
7,InocSoil_SA,3,1,0.97,1.64,0.67,0.268,0,35,27,26,2933.333333,10945.27363,4
7,InocSoil_SA,3,2,0.97,1.5,0.53,0.212,0,39,41,43,4100,19339.62264,4
8,InocSoil_SA,3,1,0.96,1.67,0.71,0.284,-1,31,21,26,26000,91549.29577,5
8,InocSoil_SA,3,2,0.98,1.53,0.55,0.22,-1,6,20,7,11000,50000,5
9,InocSoil_Incorp,3,1,0.96,1.67,0.71,0.284,-1,41,45,35,40333.33333,142018.7793,5
9,InocSoil_Incorp,3,2,0.96,1.42,0.46,0.184,-1,34,35,41,36666.66667,199275.3623,5
10,InocSoil_Incorp,3,1,0.97,1.54,0.57,0.228,-1,38,40,49,42333.33333,185672.5146,5
10,InocSoil_Incorp,3,2,0.97,1.56,0.59,0.236,-1,36,57,53,48666.66667,206214.6893,5
11,InocManure_SA,3,1,0.98,1.48,0.5,0.2,-1,12,17,17,15333.33333,76666.66667,5
11,InocManure_SA,3,2,0.98,1.58,0.6,0.24,-2,10,13,10,110000,458333.3333,6
12,InocManure_SA,3,1,0.96,1.49,0.53,0.212,-2,17,9,14,133333.3333,628930.8176,6
12,InocManure_SA,3,2,0.98,1.65,0.67,0.268,-1,32,38,27,32333.33333,120646.7662,5
13,InocManure_Incorp,3,1,0.96,1.51,0.55,0.22,-1,45,44,47,45333.33333,206060.6061,5
13,InocManure_Incorp,3,2,0.97,1.52,0.55,0.22,-1,5,8,8,7000,31818.18182,5
14,InocManure_Incorp,3,1,0.97,1.54,0.57,0.228,-2,13,9,14,120000,526315.7895,6
14,InocManure_Incorp,3,2,0.98,1.56,0.58,0.232,-2,10,15,11,120000,517241.3793,6
15,Control,3,1,0.98,1.63,0.65,0.26,NA,NA,NA,NA,NA,NA,NA
15,Control,3,2,0.97,1.56,0.59,0.236,NA,NA,NA,NA,NA,NA,NA
16,Control,3,1,0.97,1.48,0.51,0.204,NA,NA,NA,NA,NA,NA,NA
16,Control,3,2,0.97,1.61,0.64,0.256,NA,NA,NA,NA,NA,NA,NA
17,Manure_SA,3,1,0.98,1.65,0.67,0.268,NA,NA,NA,NA,NA,NA,NA
17,Manure_SA,3,2,0.97,1.47,0.5,0.2,NA,NA,NA,NA,NA,NA,NA
18,Manure_SA,3,1,0.97,1.55,0.58,0.232,NA,NA,NA,NA,NA,NA,NA
18,Manure_SA,3,2,0.97,1.51,0.54,0.216,NA,NA,NA,NA,NA,NA,NA
19,Manure_incorp,3,1,0.98,1.56,0.58,0.232,NA,NA,NA,NA,NA,NA,NA
19,Manure_incorp,3,2,0.97,1.58,0.61,0.244,NA,NA,NA,NA,NA,NA,NA
20,Manure_incorp,3,1,0.98,1.61,0.63,0.252,NA,NA,NA,NA,NA,NA,NA
20,Manure_incorp,3,2,0.97,1.44,0.47,0.188,NA,NA,NA,NA,NA,NA,NA
21,InocSoil_SA,3,1,0.98,1.54,0.56,0.224,-1,9,18,19,15333.33333,68452.38095,5
21,InocSoil_SA,3,2,0.97,1.42,0.45,0.18,-1,23,24,25,24000,133333.3333,5
22,InocSoil_SA,3,1,0.97,1.51,0.54,0.216,-1,10,13,9,10666.66667,49382.71605,5
22,InocSoil_SA,3,2,0.98,1.46,0.48,0.192,-1,7,12,16,11666.66667,60763.88889,5
23,InocSoil_Incorp,3,1,0.97,1.57,0.6,0.24,-1,13,14,12,13000,54166.66667,5
23,InocSoil_Incorp,3,2,0.96,1.5,0.54,0.216,-1,25,29,27,27000,125000,5
24,InocSoil_Incorp,3,1,0.98,1.63,0.65,0.26,0,34,35,29,3266.666667,12564.10256,4
24,InocSoil_Incorp,3,2,0.97,1.61,0.64,0.256,-1,28,23,30,27000,105468.75,5
25,InocManure_SA,3,1,0.98,1.55,0.57,0.228,-1,37,35,53,41666.66667,182748.538,5
25,InocManure_SA,3,2,0.96,1.59,0.63,0.252,-2,9,13,4,86666.66667,343915.3439,6
26,InocManure_SA,3,1,0.97,1.41,0.44,0.176,-1,11,12,3,8666.666667,49242.42424,5
26,InocManure_SA,3,2,0.96,1.54,0.58,0.232,-1,4,4,5,4333.333333,18678.16092,4
27,InocManure_Incorp,3,1,0.98,1.56,0.58,0.232,-2,9,10,12,103333.3333,445402.2989,6
27,InocManure_Incorp,3,2,0.98,1.42,0.44,0.176,-1,27,29,21,25666.66667,145833.3333,5
28,InocManure_Incorp,3,1,0.97,1.54,0.57,0.228,-2,11,12,NA,115000,504385.9649,6
28,InocManure_Incorp,3,2,0.96,1.58,0.62,0.248,-2,11,6,6,76666.66667,309139.7849,5
1,Control,4,1,0.96,1.49,0.53,0.212,0,0,0,0,0,0,NA
1,Control,4,2,0.96,1.57,0.61,0.244,0,0,0,0,0,0,NA
2,Control,4,1,0.97,1.48,0.51,0.204,0,0,0,0,0,0,NA
2,Control,4,2,0.97,1.67,0.7,0.28,0,0,0,0,0,0,NA
3,Manure_SA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Manure_SA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Manure_SA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Manure_SA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Manure_incorp,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Manure_incorp,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Manure_incorp,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Manure_incorp,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,InocSoil_SA,4,1,0.96,1.54,0.58,0.232,0,3,5,3,366.6666667,1580.45977,3
7,InocSoil_SA,4,2,0.97,1.52,0.55,0.22,0,1,6,3,333.3333333,1515.151515,3
8,InocSoil_SA,4,1,0.97,1.71,0.74,0.296,0,15,24,23,2066.666667,6981.981982,4
8,InocSoil_SA,4,2,0.97,1.59,0.62,0.248,0,16,26,30,2400,9677.419355,4
