Pot,Treatment,Week,Sub_sample,Tube_weight,Tube_soil_weight,Soil_ww,Soil_dw,DF,Count1,Count2,Count3,CFU_mL,CFU_gdw,log_CFU_gdw
26,InocManure_SA,6,1,0.96,1.52,0.56,0.224,0,17,18.5,20,1850,8258.928571,4
26,InocManure_SA,6,2,0.96,1.43,0.47,0.188,0,5,11,9,833.3333333,4432.624113,4
27,InocManure_Incorp,6,1,0.97,1.57,0.6,0.24,-1,0,8,20,9333.333333,38888.88889,5
27,InocManure_Incorp,6,2,0.98,1.54,0.56,0.224,-1,30,41,40,37000,165178.5714,5
28,InocManure_Incorp,6,1,0.96,1.72,0.76,0.304,NA,NA,NA,NA,NA,NA,NA
28,InocManure_Incorp,6,2,0.97,1.52,0.55,0.22,-1,4,10,5,6333.333333,28787.87879,4
1,Control,7,1,0.97,1.54,0.57,0.228,NA,NA,NA,NA,NA,NA,NA
1,Control,7,2,0.96,1.55,0.59,0.236,NA,NA,NA,NA,NA,NA,NA
2,Control,7,1,0.96,1.55,0.59,0.236,NA,NA,NA,NA,NA,NA,NA
2,Control,7,2,0.98,1.62,0.64,0.256,NA,NA,NA,NA,NA,NA,NA
3,Manure_SA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Manure_SA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Manure_SA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Manure_SA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Manure_incorp,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Manure_incorp,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Manure_incorp,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Manure_incorp,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,InocSoil_SA,7,1,0.97,1.44,0.47,0.188,0,0,0,0,0,0,NA
7,InocSoil_SA,7,2,0.97,1.59,0.62,0.248,0,0,0,0,0,0,NA
8,InocSoil_SA,7,1,0.97,1.49,0.52,0.208,0,0,0,0,0,0,NA
8,InocSoil_SA,7,2,0.98,1.53,0.55,0.22,0,0,0,0,0,0,NA
9,InocSoil_Incorp,7,1,0.99,1.49,0.5,0.2,0,0,1,1,66.66666667,333.3333333,3
9,InocSoil_Incorp,7,2,0.97,1.6,0.63,0.252,0,0,1,1,66.66666667,264.5502646,2
