Standard,Known_ppm,Area1,Area2,Area3
1,0,3.116089582,2.589111805,4.295221806
2,1.873,5.536306381,4.262775421,5.442765236
3,22.44,42.27920532,31.0588131,33.56595993
4,74.8,136.9252319,102.0710831,115.8232269
