Standard,Known_ppm,Area1,Area2,Area3
1,0,3.333490849,3.116089582,3.138597727
2,1.873,5.51502037,5.536306381,5.392963409
3,22.44,43.58585358,42.27920532,38.1463623
4,74.8,128.9140625,136.9252319,133.7032623
