"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,4.106254578,0
2,"Leach_field",5,1,4.496907234,0
3,"Leach_field",5,1,3.980035305,0
4,"Control",5,1,4.295542717,0
5,"Control",5,1,3.984681368,0
6,"Control",5,1,3.908401251,0
1,"Leach_field",600,1,4.092905521,0
2,"Leach_field",600,1,4.167712212,0
3,"Leach_field",600,1,3.786282301,0
4,"Control",600,1,3.765918016,0
5,"Control",600,1,3.912940025,0
6,"Control",600,1,3.898992777,0
1,"Leach_field",1200,1,4.478131294,0
2,"Leach_field",1200,1,4.059160233,0
3,"Leach_field",1200,1,4.223423958,0
4,"Control",1200,1,4.925099373,0
5,"Control",1200,1,5.398784637,0
6,"Control",1200,1,4.486978531,0
1,"Leach_field",1800,1,4.911351204,0
2,"Leach_field",1800,1,4.134883404,0
3,"Leach_field",1800,1,4.114235401,0
4,"Control",1800,1,3.847301245,0
5,"Control",1800,1,3.862783194,0
6,"Control",1800,1,3.942270041,0
