"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,920.9051514,0
2,"Leach_field",5,1,858.9646606,0
3,"Leach_field",5,1,886.5350952,0
4,"Control",5,1,870.989563,0
5,"Control",5,1,890.5385132,0
6,"Control",5,1,865.3143311,0
1,"Leach_field",600,1,1428.817627,0
2,"Leach_field",600,1,1514.2771,0
3,"Leach_field",600,1,1458.030273,0
4,"Control",600,1,1222.091553,0
5,"Control",600,1,1197.659668,0
6,"Control",600,1,1250.109863,0
1,"Leach_field",1200,1,2047.794067,0
2,"Leach_field",1200,1,2230.05249,0
3,"Leach_field",1200,1,1836.20166,0
4,"Control",1200,1,1578.558594,0
5,"Control",1200,1,1547.376587,0
6,"Control",1200,1,1511.760986,0
1,"Leach_field",1800,1,2336.187012,0
2,"Leach_field",1800,1,2615.878418,0
3,"Leach_field",1800,1,2320.837402,0
4,"Control",1800,1,2148.299561,0
5,"Control",1800,1,1689.120361,0
6,"Control",1800,1,1933.317139,0
