"","Chamber","Treatment","Mass_flux_linear","Mass_flux_quadratic"
"1",1,"Leach_field",0.198921444526409,0.654326426555033
"2",2,"Leach_field",0.23123891400756,0.302823097025766
"3",3,"Leach_field",0.306625453368358,0.297819278992885
"4",4,"Control",0.209865714554771,0.392144743450188
"5",5,"Control",0.158955153919205,0.600435030410256
"6",6,"Control",0.0895460913338091,0.36363448582201
