"","Chamber","Treatment","Mass_flux_linear","Mass_flux_quadratic"
"1",1,"Leach_field",5410.23187871706,8562.41647086313
"2",2,"Leach_field",5508.79808928983,9399.41155990067
"3",3,"Leach_field",4750.8833607958,6533.83884764966
"4",4,"Control",1810.80680488727,3702.38884136238
"5",5,"Control",4249.76509156017,7693.83044141905
"6",6,"Control",3906.12674680157,5440.45536774494
